# data from Fig. 1 of Dooley+ 2017
34473298.98883126 5738.842501963364
44061404.34625628 8212.338076633776
56794834.84329181 11865.33008099255
73830254.20312263 17160.775055851773
95975390.2047226 24768.025116299326
124762885.13928989 35777.245213809045
162185092.1895355 51895.24931082952
210831964.16275138 75212.0230399364
271760892.82609713 108374.44929575309
353274657.02082497 156221.14923631132
455368504.4204245 225711.0562209866
591954753.1077406 326241.44293882145
769509586.90662 472037.73982397706
1000321394.891172 684410.8859845924
1300364427.0366347 987189.69087617
1676160439.4008045 1423643.6063277314
2178919115.9307637 2056016.240599807
2832478563.60678 2977317.6445014323
3682070965.6607842 4313246.913548932
4746163121.188682 6215040.362420075
6169758758.7620945 8962669.805856386
8020357111.49092 12957283.242530478
10426036205.141537 18673968.32476757
13553290637.792526 26901640.487918433
17618554501.267517 38835017.45190938
22710190651.516193 55926150.19098321
30025920931.081284 81510750.20430066
38197078711.26696 113712401.5932096
50739640067.058754 164328473.08911714
64851924908.68066 235952873.89019734
82889278654.77013 345348833.56240857
99850152198.48119 469639785.7333249
120281573876.21495 665266143.929434
144893690150.62372 976639218.4609686
173071208927.14548 1431823007.0509398
204986454843.01407 2067647089.2334497
242787040834.70642 2991409209.086461
280200039708.9672 4039077124.3481526
325341315222.4634 5446760923.583665
386886900497.2128 7559283957.747961
473752848264.39795 10527187255.129158
571610230457.4545 13807594830.673271
674299033920.7201 17013642287.628231
787141564811.4333 20733821110.94247
948207130327.6954 25288505220.934822
1142230066607.7478 29620959128.24278
1375954138429.4753 34838211617.729485
1657503025361.5051 39945514864.287506
1996662681082.0364 44648092601.52367
2384954263193.607 50255838740.54972
2842660697463.357 55436026518.4148
