# data from Fig. 1 of Dooley+ 2017
338639332.2604722 1421.9707711029757
418420371.4614627 2351.4142579665336
516997261.0248484 3884.335836492723
633415442.2668421 6380.0591071806575
789294516.153859 10654.824174024938
967028982.0053003 17464.353407870905
1184785948.589965 28271.476730538052
1704769316.1496696 66057.35159109265
2253933904.7347937 138331.90119409628
2784944841.9751573 218097.4105739971
3499790543.614057 380973.16046323563
4287878374.113966 601953.0837643044
5132589916.702127 908030.8306954957
6657993011.404219 1582516.1698173145
9836923697.188656 4279753.696990315
12039113681.762556 7121865.41771083
14502567195.276642 11097368.984588355
18713739697.680904 20321497.490267042
22518826936.998745 30590878.702452276
27589648531.897964 50612274.6922942
32677325581.629364 75526756.30566463
39032094751.947945 115024600.64447565
45966787659.00701 169493586.81082278
53788522056.68774 241738118.1544489
62753492059.295715 348262580.4540308
73681728047.7053 503703301.0115031
93364374567.37296 875372216.7376328
112468671000.21198 1330082213.568859
146203269940.7308 2347524127.5787144
179029622018.6668 3574420944.075978
226895230562.63535 5649786681.901887
287558254726.7159 8634769610.696882
370660532212.8515 12688994212.560343
485933549769.7146 18097520029.71464
637055726926.4304 24222485458.259422
856649201575.3816 30652948640.118454
1142230066607.7478 37222114585.83313
1567213307061.7573 44848081244.27238
2100655337687.3677 51430575734.65079
2588244011856.8545 55847373387.54239
2872965599786.84 57056880582.259125
