1.274274985703133418e-04 7.137649931915501619e-07 3.382696500637503997e-09
2.069138081114789136e-04 2.356956170230993118e-07 1.525450106161894380e-09
3.359818286283782689e-04 8.590721060630897324e-08 7.227263769682593390e-10
5.455594781168520303e-04 3.265563726917219940e-08 3.496834031687539515e-10
8.858667904100822393e-04 1.204671759028797606e-08 1.666737263888154426e-10
1.438449888287662241e-03 4.652465254076496914e-09 8.128514632062973334e-11
2.335721469090122453e-03 1.780699772306296048e-09 3.946406487002613082e-11
3.792690190732249909e-03 7.158328007348300967e-10 1.963582279793980191e-11
6.158482110660260314e-03 2.650373479723755706e-10 9.376347350489746471e-12
9.999999999999995004e-03 1.080661437159436106e-10 4.698527987642637182e-12
1.623776739188721729e-02 3.887461901101984354e-11 2.211499808297421162e-12
2.636650898730358294e-02 1.588309785641602724e-11 1.109323673357867622e-12
4.281332398719391724e-02 5.487226346936733045e-12 5.116864952414104907e-13
6.951927961775601628e-02 1.880653094664457495e-12 2.350816368327308382e-13
1.128837891684688899e-01 7.057762018037878638e-13 1.130146401941711070e-13
1.832980710832435578e-01 1.225938749799478889e-13 3.696344408223534725e-14
2.976351441631316375e-01 1.098170452278908727e-13 2.745426130695289252e-14
4.832930238571749304e-01 2.958840099611214080e-14 1.118336438965611616e-14
7.847599703514610558e-01 0.000000000000000000e+00 0.000000000000000000e+00
