1.000000000000000559e+07 6.266686453993036139e+02
1.258925411794166826e+07 5.563949491562999583e+02
1.584893192461117171e+07 4.946963920352175137e+02
1.995262314968882129e+07 4.387682039354542667e+02
2.511886431509581208e+07 3.865496813065070683e+02
3.162277660168377310e+07 3.367961999375585265e+02
3.981071705534980446e+07 2.891026028464706314e+02
5.011872336272728443e+07 2.438215502140119497e+02
6.309573444801933318e+07 2.018325324664471339e+02
7.943282347242808342e+07 1.641828840470160173e+02
1.000000000000001788e+08 1.317071393320260029e+02
1.258925411794168204e+08 1.047666493637509575e+02
1.584893192461113334e+08 8.319343372393269931e+01
1.995262314968877435e+08 6.641164474401665530e+01
2.511886431509583890e+08 5.363562371823263675e+01
3.162277660168380737e+08 4.404772063952405858e+01
3.981071705534970760e+08 3.691019516529642885e+01
5.011872336272715926e+08 3.161251630142742286e+01
6.309573444801939726e+08 2.767596502014733773e+01
7.943282347242816687e+08 2.473749466648308726e+01
9.999999999999992847e+08 2.252725591745097944e+01
1.258925411794165134e+09 2.084699547088601079e+01
1.584893192461114883e+09 1.955199662944171379e+01
1.995262314968879461e+09 1.853697608900573712e+01
2.511886431509586811e+09 1.772546093912662002e+01
3.162277660168384552e+09 1.706194097853655478e+01
3.981071705534975052e+09 1.650613017855265241e+01
5.011872336272721291e+09 1.602879163767959980e+01
6.309573444801924706e+09 1.560870683722263408e+01
7.943282347242797852e+09 1.523047722330875686e+01
1.000000000000000381e+10 1.488292959133491600e+01
1.258925411794166565e+10 1.455795913615208903e+01
1.584893192461116791e+10 1.424968976257556008e+01
1.995262314968881607e+10 1.395386450371865372e+01
2.511886431509580612e+10 1.366740282759023195e+01
3.162277660168376541e+10 1.338807906501826395e+01
3.981071705534965515e+10 1.311428906571308417e+01
5.011872336272708893e+10 1.284488066149600094e+01
6.309573444801931763e+10 1.257903029793162908e+01
7.943282347242834473e+10 1.231615528188463493e+01
1.000000000000001526e+11 1.205584360542232325e+01
1.258925411794167938e+11 1.179781330643822201e+01
1.584893192461112976e+11 1.154187858602645633e+01
1.995262314968876953e+11 1.128791779307137588e+01
2.511886431509574280e+11 1.103586191482525258e+01
3.162277660168380127e+11 1.078567986233689169e+01
3.981071705534970093e+11 1.053736926845947863e+01
5.011872336272732544e+11 1.029094971696138927e+01
6.309573444801938477e+11 1.004645922803226910e+01
7.943282347242814941e+11 9.803946610018975605e+00
9.999999999999990234e+11 9.563473098083608903e+00
1.258925411794164795e+12 9.325113077770181391e+00
1.584893192461108887e+12 9.088950670653126451e+00
1.995262314968879150e+12 8.855070748608142139e+00
2.511886431509577148e+12 8.623572148372208090e+00
3.162277660168383789e+12 8.394560690033625150e+00
3.981071705534974121e+12 8.168149998354644836e+00
5.011872336272719727e+12 7.944461688113714892e+00
6.309573444801922852e+12 7.723626070572399804e+00
7.943282347242795898e+12 7.505783604900899242e+00
1.000000000000000195e+13 7.291082101710002483e+00
1.258925411794166211e+13 7.079686967585317348e+00
1.584893192461110742e+13 6.871765598663799324e+00
1.995262314968881250e+13 6.667504564164188352e+00
2.511886431509579688e+13 6.467103456020346641e+00
3.162277660168375781e+13 6.270777313173494072e+00
3.981071705534964844e+13 6.078758594019396888e+00
5.011872336272707812e+13 5.891299160203328000e+00
6.309573444801907812e+13 5.708673555349460749e+00
7.943282347242832812e+13 5.531179451191268193e+00
9.999999999999942188e+13 5.359143443797346862e+00
1.258925411794158594e+14 5.192922300378780776e+00
1.584893192461112500e+14 5.032910413113176773e+00
1.995262314968876250e+14 4.879542088879841089e+00
2.511886431509573750e+14 4.733298238012248582e+00
3.162277660168390625e+14 4.594713888327205176e+00
3.981071705534983125e+14 4.464385649772427911e+00
5.011872336272731250e+14 4.342983663404407224e+00
6.309573444801937500e+14 4.231239794438754309e+00
7.943282347242813750e+14 4.130041850096263012e+00
9.999999999999988750e+14 4.040333554012222272e+00
